category_code_range,category_name,subcategory_name,icd10_code,icd10_label,is_common
C00-C97,Κακοήθη νεοπλάσματα,Μαλακά μόρια,C45,Μεσοθηλίωμα,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Μαλακά μόρια,C46,Σάρκωμα Kaposi,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Μαλακά μόρια,C47,Περιφερικών νεύρων και αυτόνομου νευρικού συστήματος,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Μαλακά μόρια,C48,Οπισθοπεριτοναίου και περιτοναίου,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Μαλακά μόρια,C49,’λλου συνδετικού και μαλακών μορίων,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Μαστός,C50,Μαστού,TRUE
C00-C97,Κακοήθη νεοπλάσματα,Γεννητικά όργανα Γυναικεία,C51,Αιδοίου,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Γεννητικά όργανα Γυναικεία,C52,Κόλπου,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Γεννητικά όργανα Γυναικεία,C53,Τραχήλου μήτρας,TRUE
C00-C97,Κακοήθη νεοπλάσματα,Γεννητικά όργανα Γυναικεία,C54,Σώματος μήτρας,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Γεννητικά όργανα Γυναικεία,C55,Μήτρας μη καθορισμένου τμήματος,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Γεννητικά όργανα Γυναικεία,C56,Ωοθήκης,TRUE
C00-C97,Κακοήθη νεοπλάσματα,Γεννητικά όργανα Γυναικεία,C57,’λλων και μη καθορισμένων γυναικείων γεννητικών οργάνων,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Γεννητικά όργανα Γυναικεία,C58,Πλακούντα,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Γεννητικά όργανα Ανδρικά,C60,Πέους,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Γεννητικά όργανα Ανδρικά,C61,Προστάτη,TRUE
C00-C97,Κακοήθη νεοπλάσματα,Γεννητικά όργανα Ανδρικά,C62,Όρχεως,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Γεννητικά όργανα Ανδρικά,C63,’λλων και μη καθορισμένων ανδρικών γεννητικών οργάνων,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Ουροποιητικό,C64,Νεφρού εκτός νεφρικής πυέλου,TRUE
C00-C97,Κακοήθη νεοπλάσματα,Ουροποιητικό,C65,Νεφρικής πυέλου,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Ουροποιητικό,C66,Ουρητήρα,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Ουροποιητικό,C67,Ουροδόχου κύστης,TRUE
C00-C97,Κακοήθη νεοπλάσματα,Ουροποιητικό,C68,’λλων και μη καθορισμένων οργάνων ουροποιητικού,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Εγκέφαλος-Οφθαλμός,C69,Οφθαλμού και παραρτημάτων,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Εγκέφαλος-Οφθαλμός,C70,Μηνίγγων,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Εγκέφαλος-Οφθαλμός,C71,Εγκεφάλου,TRUE
C00-C97,Κακοήθη νεοπλάσματα,Εγκέφαλος-Οφθαλμός,C72,Νωτιαίου μυελού κρανιακών νεύρων και άλλων τμημάτων κεντρικού νευρικού συστήματος,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Ενδοκρινείς αδένες,C73,Θυρεοειδούς αδένα,TRUE
C00-C97,Κακοήθη νεοπλάσματα,Ενδοκρινείς αδένες,C74,Επινεφριδίου,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Ενδοκρινείς αδένες,C75,’λλων ενδοκρινών αδένων και σχετικών δομών,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Ασαφώς καθοριζόμενα,C76,’λλων και ασαφώς καθορισμένων εντοπίσεων,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Ασαφώς καθοριζόμενα,C77,Δευτεροπαθές και μη καθορισμένο λεμφαδένων,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Ασαφώς καθοριζόμενα,C78,Δευτεροπαθές οργάνων αναπνευστικού και πεπτικού,TRUE
C00-C97,Κακοήθη νεοπλάσματα,Ασαφώς καθοριζόμενα,C79,Δευτεροπαθές άλλων και μη καθορισμένων εντοπίσεων,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Ασαφώς καθοριζόμενα,C80,Χωρίς καθορισμένη εντόπιση,TRUE
C00-C97,Κακοήθη νεοπλάσματα,Αίμα Λεμφικό,C81,Hodgkin νόσος [Λέμφωμα],TRUE
C00-C97,Κακοήθη νεοπλάσματα,Αίμα Λεμφικό,C82,Θυλακιώδες [κεντροβλαστικό-κεντροκυτταρικό] μη-Hodgkin λέμφωμα,TRUE
C00-C97,Κακοήθη νεοπλάσματα,Αίμα Λεμφικό,C83,Μη θυλακιώδες [διάχυτο] μη-Hodgkin λέμφωμα,TRUE
C00-C97,Κακοήθη νεοπλάσματα,Αίμα Λεμφικό,C84,Ωριμανταλλαγείς (περιφερικές) και μη καθορισμένου τύπου T-κυτταρικά λεμφώματα,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Αίμα Λεμφικό,C85,’λλα και μη καθορισμένου τύπου μη-Hodgkin λέμφωμα,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Αίμα Λεμφικό,C88,Κακοήθη ανοσοσφαιρινοπάθειες,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Αίμα Λεμφικό,C90,Πολλαπλούν μυέλωμα και κακοήθη πλασματοκυτταρικά νεοπλάσματα,TRUE
C00-C97,Κακοήθη νεοπλάσματα,Αίμα Λεμφικό,C91,Λεμφοκυτταρική λευχαιμία,TRUE
C00-C97,Κακοήθη νεοπλάσματα,Αίμα Λεμφικό,C92,Μυελοκυτταρική λευχαιμία,TRUE
C00-C97,Κακοήθη νεοπλάσματα,Αίμα Λεμφικό,C93,Μονοκυτταρική λευχαιμία,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Αίμα Λεμφικό,C94,’λλες λευχαιμίες καθορισμένου κυτταρικού τύπου,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Αίμα Λεμφικό,C95,Λευχαιμία μη καθορισμένου κυτταρικού τύπου,FALSE
C00-C97,Κακοήθη νεοπλάσματα,Αίμα Λεμφικό,C96,’λλα και μη καθορισμένα κακοήθη νεοπλάσματα λεμφικού αιμοποιητικού και σχετικών ιστών,FALSE
D00-D09,Νεοπλάσματα in situ,Πεπτικό,D00,Στοματικής κοιλότητας οισοφάγου και στομάχου,FALSE
D00-D09,Νεοπλάσματα in situ,Πεπτικό,D01,’λλων και μη καθορισμένων οργάνων πεπτικού,FALSE
D00-D09,Νεοπλάσματα in situ,Αναπνευστικό,D02,Μέσου ωτός και αναπνευστικού συστήματος,FALSE
D00-D09,Νεοπλάσματα in situ,Μελάνωμα,D03,Μελάνωμα δέρματος,FALSE
D00-D09,Νεοπλάσματα in situ,Δέρμα,D04,Δέρματος,FALSE
D00-D09,Νεοπλάσματα in situ,Μαστός,D05,Μαστού,FALSE
D00-D09,Νεοπλάσματα in situ,Γεννητικά όργανα,D06,Τραχήλου μήτρας,FALSE
D00-D09,Νεοπλάσματα in situ,Γεννητικά όργανα,D07,’λλων και μη καθορισμένων γεννητικών οργάνων,FALSE
D00-D09,Νεοπλάσματα in situ,Ουροποιητικό,D09,’λλων και μη καθορισμένων εντοπίσεων,FALSE
D10-D36,Καλοήθη νεοπλάσματα,Στόμα-Φάρυγγας,D10,Στόματος και φάρυγγα,FALSE
D10-D36,Καλοήθη νεοπλάσματα,Στόμα-Φάρυγγας,D11,Μεγάλων σιελογόνων αδένων,FALSE
D10-D36,Καλοήθη νεοπλάσματα,Πεπτικό,D12,Κόλου ορθού πρωκτού και πρωκτικού σωλήνα,TRUE
D10-D36,Καλοήθη νεοπλάσματα,Πεπτικό,D13,’λλων και ασαφώς καθορισμένων τμημάτων πεπτικού,FALSE
D10-D36,Καλοήθη νεοπλάσματα,Αναπνευστικό,D14,Μέσου ωτός και αναπνευστικού,FALSE
D10-D36,Καλοήθη νεοπλάσματα,’λλα,D15,’λλων και μη καθορισμένων ενδοθωρακικών οργάνων,FALSE
D10-D36,Καλοήθη νεοπλάσματα,’λλα,D16,Οστών και αρθρικών χόνδρων,FALSE
D10-D36,Καλοήθη νεοπλάσματα,’λλα,D17,Λιπώδους ιστού,FALSE
D10-D36,Καλοήθη νεοπλάσματα,’λλα,D18,Αιμαγγειωμάτων και λεμφαγγειωμάτων οποιασδήποτε εντόπισης,FALSE
D10-D36,Καλοήθη νεοπλάσματα,’λλα,D19,Μεσοθηλιακού ιστού,FALSE
D10-D36,Καλοήθη νεοπλάσματα,’λλα,D20,Μαλακών μορίων οπισθοπεριτοναίου και περιτοναίου,FALSE
D10-D36,Καλοήθη νεοπλάσματα,’λλα,D21,’λλου συνδετικού και μαλακών μορίων,FALSE
D10-D36,Καλοήθη νεοπλάσματα,Δέρμα,D22,Μελανωματώδεις σπίλοι,FALSE
D10-D36,Καλοήθη νεοπλάσματα,Δέρμα,D23,’λλα δέρματος,FALSE
D10-D36,Καλοήθη νεοπλάσματα,Μαστός,D24,Μαστού,TRUE
D10-D36,Καλοήθη νεοπλάσματα,Γεννητικά όργανα,D25,Λειομύωμα μήτρας,TRUE
D10-D36,Καλοήθη νεοπλάσματα,Γεννητικά όργανα,D26,’λλων και μη καθορισμένων γυναικείων γεννητικών οργάνων,FALSE
D10-D36,Καλοήθη νεοπλάσματα,Γεννητικά όργανα,D27,Ωοθήκης,TRUE
D10-D36,Καλοήθη νεοπλάσματα,Γεννητικά όργανα,D28,’λλων και μη καθορισμένων γυναικείων γεννητικών οργάνων,FALSE
D10-D36,Καλοήθη νεοπλάσματα,Γεννητικά όργανα,D29,Ανδρικών γεννητικών οργάνων,FALSE
D10-D36,Καλοήθη νεοπλάσματα,Ουροποιητικό,D30,Οργάνων ουροποιητικού,TRUE
D10-D36,Καλοήθη νεοπλάσματα,Ενδοκρινείς,D31,Οφθαλμού και παραρτημάτων,FALSE
D10-D36,Καλοήθη νεοπλάσματα,Νευρικό σύστημα,D32,Μηνίγγων,FALSE
D10-D36,Καλοήθη νεοπλάσματα,Νευρικό σύστημα,D33,Εγκεφάλου και άλλων τμημάτων κεντρικού νευρικού συστήματος,TRUE
D10-D36,Καλοήθη νεοπλάσματα,Ενδοκρινείς,D34,Θυρεοειδούς αδένα,TRUE
D10-D36,Καλοήθη νεοπλάσματα,Ενδοκρινείς,D35,’λλων και μη καθορισμένων ενδοκρινών αδένων,FALSE
D10-D36,Καλοήθη νεοπλάσματα,’λλα,D36,’λλων και μη καθορισμένων εντοπίσεων,FALSE
D37-D48,Αβέβαιη/’γνωστη συμπεριφορά,Στόμα-Πεπτικό,D37,Στοματικής κοιλότητας και οργάνων πεπτικού,TRUE
D37-D48,Αβέβαιη/’γνωστη συμπεριφορά,Αναπνευστικό,D38,"Μέσου ωτός, οργάνων αναπνευστικού συστήματος και ενδοθωρακικών οργάνων",FALSE
D37-D48,Αβέβαιη/’γνωστη συμπεριφορά,Γεννητικά,D39,Γυναικείων γεννητικών οργάνων,FALSE
D37-D48,Αβέβαιη/’γνωστη συμπεριφορά,Γεννητικά,D40,Ανδρικών γεννητικών οργάνων,FALSE
D37-D48,Αβέβαιη/’γνωστη συμπεριφορά,Ουροποιητικό,D41,Οργάνων ουροποιητικού και άλλων,FALSE
D37-D48,Αβέβαιη/’γνωστη συμπεριφορά,Νευρικό,D42,Μηνίγγων,FALSE
D37-D48,Αβέβαιη/’γνωστη συμπεριφορά,Νευρικό,D43,Εγκεφάλου και κεντρικού νευρικού συστήματος,FALSE
D37-D48,Αβέβαιη/’γνωστη συμπεριφορά,Ενδοκρινείς,D44,Ενδοκρινών αδένων,FALSE
D37-D48,Αβέβαιη/’γνωστη συμπεριφορά,Αίμα,D45,Αληθής πολυκυτταραιμία,TRUE
D37-D48,Αβέβαιη/’γνωστη συμπεριφορά,Αίμα,D46,Μυελοδυσπλαστικά σύνδρομα,TRUE
D37-D48,Αβέβαιη/’γνωστη συμπεριφορά,Αίμα,D47,Λεμφικού αιμοποιητικού και σχετικών ιστών,TRUE
D37-D48,Αβέβαιη/’γνωστη συμπεριφορά,’λλα,D48,’λλων και μη καθορισμένων εντοπίσεων,FALSE
