aa,Δήμος (σχ. Καλλικράτης),Περιφεριακή Ενότητα,Περιφέρεια,#
49,ΑΜΦΙΠΟΛΗΣ,ΣΕΡΡΩΝ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
50,ΒΙΣΑΛΤΙΑΣ,ΣΕΡΡΩΝ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
51,ΕΜΜΑΝΟΥΗΛ ΠΑΠΠΑ,ΣΕΡΡΩΝ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
52,ΗΡΑΚΛΕΙΑΣ,ΣΕΡΡΩΝ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
53,ΝΕΑΣ ΖΙΧΝΗΣ,ΣΕΡΡΩΝ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
54,ΣΕΡΡΩΝ,ΣΕΡΡΩΝ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
55,ΣΙΝΤΙΚΗΣ,ΣΕΡΡΩΝ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
56,ΑΡΙΣΤΟΤΕΛΗ,ΧΑΛΚΙΔΙΚΗΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
57,ΚΑΣΣΑΝΔΡΑΣ,ΧΑΛΚΙΔΙΚΗΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
58,ΝΕΑΣ ΠΡΟΠΟΝΤΙΔΑΣ,ΧΑΛΚΙΔΙΚΗΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
59,ΠΟΛΥΓΥΡΟΥ,ΧΑΛΚΙΔΙΚΗΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
60,ΣΙΘΩΝΙΑΣ,ΧΑΛΚΙΔΙΚΗΣ,ΚΕΝ. ΜΑΚΕΔΟΝΙΑΣ,2
61,ΓΡΕΒΕΝΩΝ,ΓΡΕΒΕΝΩΝ,ΔΥΤ. ΜΑΚΕΔΟΝΙΑΣ,3
62,ΔΕΣΚΑΤΗΣ,ΓΡΕΒΕΝΩΝ,ΔΥΤ. ΜΑΚΕΔΟΝΙΑΣ,3
63,ΚΑΣΤΟΡΙΑΣ,ΚΑΣΤΟΡΙΑΣ,ΔΥΤ. ΜΑΚΕΔΟΝΙΑΣ,3
64,ΝΕΣΤΟΡΙΟΥ,ΚΑΣΤΟΡΙΑΣ,ΔΥΤ. ΜΑΚΕΔΟΝΙΑΣ,3
65,ΟΡΕΣΤΙΔΟΣ,ΚΑΣΤΟΡΙΑΣ,ΔΥΤ. ΜΑΚΕΔΟΝΙΑΣ,3
66,ΒΟΪΟΥ,ΚΟΖΑΝΗΣ,ΔΥΤ. ΜΑΚΕΔΟΝΙΑΣ,3
67,ΕΟΡΔΑΙΑΣ,ΚΟΖΑΝΗΣ,ΔΥΤ. ΜΑΚΕΔΟΝΙΑΣ,3
68,ΚΟΖΑΝΗΣ,ΚΟΖΑΝΗΣ,ΔΥΤ. ΜΑΚΕΔΟΝΙΑΣ,3
69,ΣΕΡΒΙΩΝ-ΒΕΛΒΕΝΤΟΥ,ΚΟΖΑΝΗΣ,ΔΥΤ. ΜΑΚΕΔΟΝΙΑΣ,3
70,ΑΜΥΝΤΑΙΟΥ,ΦΛΩΡΙΝΑΣ,ΔΥΤ. ΜΑΚΕΔΟΝΙΑΣ,3
71,ΠΡΕΣΠΩΝ,ΦΛΩΡΙΝΑΣ,ΔΥΤ. ΜΑΚΕΔΟΝΙΑΣ,3
72,ΦΛΩΡΙΝΑΣ,ΦΛΩΡΙΝΑΣ,ΔΥΤ. ΜΑΚΕΔΟΝΙΑΣ,3
73,ΑΡΤΑΙΩΝ,ΑΡΤΑΣ,ΗΠΕΙΡΟΥ,4
74,ΓΕΩΡΓΙΟΥ ΚΑΡΑΪΣΚΑΚΗ,ΑΡΤΑΣ,ΗΠΕΙΡΟΥ,4
75,ΚΕΝΤΡΙΚΩΝ ΤΖΟΥΜΕΡΚΩΝ,ΑΡΤΑΣ,ΗΠΕΙΡΟΥ,4
76,ΝΙΚΟΛΑΟΥ ΣΚΟΥΦΑ,ΑΡΤΑΣ,ΗΠΕΙΡΟΥ,4
77,ΗΓΟΥΜΕΝΙΤΣΑΣ,ΘΕΣΠΡΩΤΙΑΣ,ΗΠΕΙΡΟΥ,4
78,ΣΟΥΛΙΟΥ,ΘΕΣΠΡΩΤΙΑΣ,ΗΠΕΙΡΟΥ,4
79,ΦΙΛΙΑΤΩΝ,ΘΕΣΠΡΩΤΙΑΣ,ΗΠΕΙΡΟΥ,4
80,ΒΟΡΕΙΩΝ ΤΖΟΥΜΕΡΚΩΝ,ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ,4
81,ΔΩΔΩΝΗΣ,ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ,4
82,ΖΑΓΟΡΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ,4
83,ΖΙΤΣΑΣ,ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ,4
84,ΙΩΑΝΝΙΤΩΝ,ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ,4
85,ΚΟΝΙΤΣΑΣ,ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ,4
86,ΜΕΤΣΟΒΟΥ,ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ,4
87,ΠΩΓΩΝΙΟΥ,ΙΩΑΝΝΙΝΩΝ,ΗΠΕΙΡΟΥ,4
88,ΖΗΡΟΥ,ΠΡΕΒΕΖΑΣ,ΗΠΕΙΡΟΥ,4
89,ΠΑΡΓΑΣ,ΠΡΕΒΕΖΑΣ,ΗΠΕΙΡΟΥ,4
90,ΠΡΕΒΕΖΑΣ,ΠΡΕΒΕΖΑΣ,ΗΠΕΙΡΟΥ,4
91,ΑΡΓΙΘΕΑΣ,ΚΑΡΔΙΤΣΑΣ,ΘΕΣΣΑΛΙΑΣ,5
92,ΚΑΡΔΙΤΣΑΣ,ΚΑΡΔΙΤΣΑΣ,ΘΕΣΣΑΛΙΑΣ,5
93,ΛΙΜΝΗΣ ΠΛΑΣΤΗΡΑ,ΚΑΡΔΙΤΣΑΣ,ΘΕΣΣΑΛΙΑΣ,5
94,ΜΟΥΖΑΚΙΟΥ,ΚΑΡΔΙΤΣΑΣ,ΘΕΣΣΑΛΙΑΣ,5
95,ΠΑΛΑΜΑ,ΚΑΡΔΙΤΣΑΣ,ΘΕΣΣΑΛΙΑΣ,5
96,ΣΟΦΑΔΩΝ,ΚΑΡΔΙΤΣΑΣ,ΘΕΣΣΑΛΙΑΣ,5
97,ΑΓΙΑΣ,ΛΑΡΙΣΑΣ,ΘΕΣΣΑΛΙΑΣ,5
98,ΕΛΑΣΣΟΝΑΣ,ΛΑΡΙΣΑΣ,ΘΕΣΣΑΛΙΑΣ,5
99,ΚΙΛΕΛΕΡ,ΛΑΡΙΣΑΣ,ΘΕΣΣΑΛΙΑΣ,5
100,ΛΑΡΙΣΑΙΩΝ,ΛΑΡΙΣΑΣ,ΘΕΣΣΑΛΙΑΣ,5
101,ΤΕΜΠΩΝ,ΛΑΡΙΣΑΣ,ΘΕΣΣΑΛΙΑΣ,5
102,ΤΥΡΝΑΒΟΥ,ΛΑΡΙΣΑΣ,ΘΕΣΣΑΛΙΑΣ,5
103,ΦΑΡΣΑΛΩΝ,ΛΑΡΙΣΑΣ,ΘΕΣΣΑΛΙΑΣ,5
104,ΑΛΜΥΡΟΥ,ΜΑΓΝΗΣΙΑΣ,ΘΕΣΣΑΛΙΑΣ,5
105,ΒΟΛΟΥ,ΜΑΓΝΗΣΙΑΣ,ΘΕΣΣΑΛΙΑΣ,5
106,ΖΑΓΟΡΑΣ-ΜΟΥΡΕΣΙΟΥ,ΜΑΓΝΗΣΙΑΣ,ΘΕΣΣΑΛΙΑΣ,5
107,ΝΟΤΙΟΥ ΠΗΛΙΟΥ,ΜΑΓΝΗΣΙΑΣ,ΘΕΣΣΑΛΙΑΣ,5
108,ΡΗΓΑ ΦΕΡΑΙΟΥ,ΜΑΓΝΗΣΙΑΣ,ΘΕΣΣΑΛΙΑΣ,5
109,ΑΛΟΝΝΗΣΟΥ,ΣΠΟΡΑΔΩΝ,ΘΕΣΣΑΛΙΑΣ,5
110,ΣΚΙΑΘΟΥ,ΣΠΟΡΑΔΩΝ,ΘΕΣΣΑΛΙΑΣ,5
111,ΣΚΟΠΕΛΟΥ,ΣΠΟΡΑΔΩΝ,ΘΕΣΣΑΛΙΑΣ,5
112,ΚΑΛΑΜΠΑΚΑΣ,ΤΡΙΚΑΛΩΝ,ΘΕΣΣΑΛΙΑΣ,5
113,ΠΥΛΗΣ,ΤΡΙΚΑΛΩΝ,ΘΕΣΣΑΛΙΑΣ,5
114,ΤΡΙΚΚΑΙΩΝ,ΤΡΙΚΑΛΩΝ,ΘΕΣΣΑΛΙΑΣ,5
115,ΦΑΡΚΑΔΟΝΑΣ,ΤΡΙΚΑΛΩΝ,ΘΕΣΣΑΛΙΑΣ,5
116,ΑΛΙΑΡΤΟΥ,ΒΟΙΩΤΙΑΣ,ΣΤ. ΕΛΛΑΔΑΣ,6
117,ΔΙΣΤΟΜΟΥ-ΑΡΑΧΟΒΑΣ-ΑΝΤΙΚΥΡΑΣ,ΒΟΙΩΤΙΑΣ,ΣΤ. ΕΛΛΑΔΑΣ,6
118,ΘΗΒΑΙΩΝ,ΒΟΙΩΤΙΑΣ,ΣΤ. ΕΛΛΑΔΑΣ,6
119,ΛΕΒΑΔΕΩΝ,ΒΟΙΩΤΙΑΣ,ΣΤ. ΕΛΛΑΔΑΣ,6
120,ΟΡΧΟΜΕΝΟΥ,ΒΟΙΩΤΙΑΣ,ΣΤ. ΕΛΛΑΔΑΣ,6
121,ΤΑΝΑΓΡΑΣ,ΒΟΙΩΤΙΑΣ,ΣΤ. ΕΛΛΑΔΑΣ,6
122,ΔΙΡΦΥΩΝ-ΜΕΣΣΑΠΙΩΝ,ΕΥΒΟΙΑΣ,ΣΤ. ΕΛΛΑΔΑΣ,6
123,ΕΡΕΤΡΙΑΣ,ΕΥΒΟΙΑΣ,ΣΤ. ΕΛΛΑΔΑΣ,6
124,ΙΣΤΙΑΙΑΣ-ΑΙΔΗΨΟΥ,ΕΥΒΟΙΑΣ,ΣΤ. ΕΛΛΑΔΑΣ,6
125,ΚΑΡΥΣΤΟΥ,ΕΥΒΟΙΑΣ,ΣΤ. ΕΛΛΑΔΑΣ,6
126,ΚΥΜΗΣ-ΑΛΙΒΕΡΙΟΥ,ΕΥΒΟΙΑΣ,ΣΤ. ΕΛΛΑΔΑΣ,6
127,ΜΑΝΤΟΥΔΙΟΥ-ΛΙΜΝΗΣ-ΑΓΙΑΣ ΑΝΝΑΣ,ΕΥΒΟΙΑΣ,ΣΤ. ΕΛΛΑΔΑΣ,6
128,ΣΚΥΡΟΥ,ΕΥΒΟΙΑΣ,ΣΤ. ΕΛΛΑΔΑΣ,6
129,ΧΑΛΚΙΔΕΩΝ,ΕΥΒΟΙΑΣ,ΣΤ. ΕΛΛΑΔΑΣ,6
130,ΑΓΡΑΦΩΝ,ΕΥΡΥΤΑΝΙΑΣ,ΣΤ. ΕΛΛΑΔΑΣ,6
131,ΚΑΡΠΕΝΗΣΙΟΥ,ΕΥΡΥΤΑΝΙΑΣ,ΣΤ. ΕΛΛΑΔΑΣ,6
132,ΑΜΦΙΚΛΕΙΑΣ-ΕΛΑΤΕΙΑΣ,ΦΘΙΩΤΙΔΑΣ,ΣΤ. ΕΛΛΑΔΑΣ,6
133,ΔΟΜΟΚΟΥ,ΦΘΙΩΤΙΔΑΣ,ΣΤ. ΕΛΛΑΔΑΣ,6
134,ΛΑΜΙΕΩΝ,ΦΘΙΩΤΙΔΑΣ,ΣΤ. ΕΛΛΑΔΑΣ,6
135,ΛΟΚΡΩΝ,ΦΘΙΩΤΙΔΑΣ,ΣΤ. ΕΛΛΑΔΑΣ,6
136,ΜΑΚΡΑΚΩΜΗΣ,ΦΘΙΩΤΙΔΑΣ,ΣΤ. ΕΛΛΑΔΑΣ,6
137,ΜΩΛΟΥ-ΑΓΙΟΥ ΚΩΝΣΤΑΝΤΙΝΟΥ,ΦΘΙΩΤΙΔΑΣ,ΣΤ. ΕΛΛΑΔΑΣ,6
138,ΣΤΥΛΙΔΟΣ,ΦΘΙΩΤΙΔΑΣ,ΣΤ. ΕΛΛΑΔΑΣ,6
139,ΔΕΛΦΩΝ,ΦΩΚΙΔΑΣ,ΣΤ. ΕΛΛΑΔΑΣ,6
140,ΔΩΡΙΔΟΣ,ΦΩΚΙΔΑΣ,ΣΤ. ΕΛΛΑΔΑΣ,6
141,ΖΑΚΥΝΘΟΥ,ΖΑΚΥΝΘΟΥ,ΙΟΝΙΩΝ ΝΗΣΩΝ,7
142,ΙΘΑΚΗΣ,ΙΘΑΚΗΣ,ΙΟΝΙΩΝ ΝΗΣΩΝ,7
143,ΚΕΡΚΥΡΑΣ,ΚΕΡΚΥΡΑΣ,ΙΟΝΙΩΝ ΝΗΣΩΝ,7
144,ΠΑΞΩΝ,ΚΕΡΚΥΡΑΣ,ΙΟΝΙΩΝ ΝΗΣΩΝ,7
145,ΚΕΦΑΛΟΝΙΑΣ,ΚΕΦΑΛΛΗΝΙΑΣ,ΙΟΝΙΩΝ ΝΗΣΩΝ,7
146,ΛΕΥΚΑΔΑΣ,ΛΕΥΚΑΔΑΣ,ΙΟΝΙΩΝ ΝΗΣΩΝ,7
147,ΜΕΓΑΝΗΣΙΟΥ,ΛΕΥΚΑΔΑΣ,ΙΟΝΙΩΝ ΝΗΣΩΝ,7
148,ΑΓΡΙΝΙΟΥ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΔΥΤ. ΕΛΛΑΔΑΣ,8
149,ΑΚΤΙΟΥ-ΒΟΝΙΤΣΑΣ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΔΥΤ. ΕΛΛΑΔΑΣ,8
150,ΑΜΦΙΛΟΧΙΑΣ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΔΥΤ. ΕΛΛΑΔΑΣ,8
151,ΘΕΡΜΟΥ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΔΥΤ. ΕΛΛΑΔΑΣ,8
152,ΙΕΡΑΣ ΠΟΛΗΣ ΜΕΣΟΛΟΓΓΙΟΥ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΔΥΤ. ΕΛΛΑΔΑΣ,8
153,ΝΑΥΠΑΚΤΙΑΣ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΔΥΤ. ΕΛΛΑΔΑΣ,8
154,ΞΗΡΟΜΕΡΟΥ,ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ,ΔΥΤ. ΕΛΛΑΔΑΣ,8
155,ΑΙΓΙΑΛΕΙΑΣ,ΑΧΑΪΑΣ,ΔΥΤ. ΕΛΛΑΔΑΣ,8
156,ΔΥΤΙΚΗΣ ΑΧΑΪΑΣ,ΑΧΑΪΑΣ,ΔΥΤ. ΕΛΛΑΔΑΣ,8
157,ΕΡΥΜΑΝΘΟΥ,ΑΧΑΪΑΣ,ΔΥΤ. ΕΛΛΑΔΑΣ,8
158,ΚΑΛΑΒΡΥΤΩΝ,ΑΧΑΪΑΣ,ΔΥΤ. ΕΛΛΑΔΑΣ,8
159,ΠΑΤΡΕΩΝ,ΑΧΑΪΑΣ,ΔΥΤ. ΕΛΛΑΔΑΣ,8
160,ΑΝΔΡΑΒΙΔΑΣ-ΚΥΛΛΗΝΗΣ,ΗΛΕΙΑΣ,ΔΥΤ. ΕΛΛΑΔΑΣ,8
161,ΑΝΔΡΙΤΣΑΙΝΑΣ-ΚΡΕΣΤΕΝΩΝ,ΗΛΕΙΑΣ,ΔΥΤ. ΕΛΛΑΔΑΣ,8
162,ΑΡΧΑΙΑΣ ΟΛΥΜΠΙΑΣ,ΗΛΕΙΑΣ,ΔΥΤ. ΕΛΛΑΔΑΣ,8
163,ΖΑΧΑΡΩΣ,ΗΛΕΙΑΣ,ΔΥΤ. ΕΛΛΑΔΑΣ,8
164,ΗΛΙΔΑΣ,ΗΛΕΙΑΣ,ΔΥΤ. ΕΛΛΑΔΑΣ,8
165,ΠΗΝΕΙΟΥ,ΗΛΕΙΑΣ,ΔΥΤ. ΕΛΛΑΔΑΣ,8
166,ΠΥΡΓΟΥ,ΗΛΕΙΑΣ,ΔΥΤ. ΕΛΛΑΔΑΣ,8
167,ΑΡΓΟΥΣ-ΜΥΚΗΝΩΝ,ΑΡΓΟΛΙΔΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
168,ΕΠΙΔΑΥΡΟΥ,ΑΡΓΟΛΙΔΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
169,ΕΡΜΙΟΝΙΔΑΣ,ΑΡΓΟΛΙΔΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
170,ΝΑΥΠΛΙΕΩΝ,ΑΡΓΟΛΙΔΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
171,ΒΟΡΕΙΑΣ ΚΥΝΟΥΡΙΑΣ,ΑΡΚΑΔΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
172,ΓΟΡΤΥΝΙΑΣ,ΑΡΚΑΔΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
173,ΜΕΓΑΛΟΠΟΛΗΣ,ΑΡΚΑΔΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
174,ΝΟΤΙΑΣ ΚΥΝΟΥΡΙΑΣ,ΑΡΚΑΔΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
175,ΤΡΙΠΟΛΗΣ,ΑΡΚΑΔΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
176,ΒΕΛΟΥ-ΒΟΧΑΣ,ΚΟΡΙΝΘΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
177,ΚΟΡΙΝΘΙΩΝ,ΚΟΡΙΝΘΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
178,ΛΟΥΤΡΑΚΙΟΥ-ΑΓΙΩΝ ΘΕΟΔΩΡΩΝ,ΚΟΡΙΝΘΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
179,ΝΕΜΕΑΣ,ΚΟΡΙΝΘΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
180,ΞΥΛΟΚΑΣΤΡΟΥ-ΕΥΡΩΣΤΙΝΗΣ,ΚΟΡΙΝΘΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
181,ΣΙΚΥΩΝΙΩΝ,ΚΟΡΙΝΘΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
182,ΑΝΑΤΟΛΙΚΗΣ ΜΑΝΗΣ,ΛΑΚΩΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
183,ΕΛΑΦΟΝΗΣΟΥ,ΛΑΚΩΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
184,ΕΥΡΩΤΑ,ΛΑΚΩΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
185,ΜΟΝΕΜΒΑΣΙΑΣ,ΛΑΚΩΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
186,ΣΠΑΡΤΗΣ,ΛΑΚΩΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
187,ΔΥΤΙΚΗΣ ΜΑΝΗΣ,ΜΕΣΣΗΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
188,ΚΑΛΑΜΑΤΑΣ,ΜΕΣΣΗΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
189,ΜΕΣΣΗΝΗΣ,ΜΕΣΣΗΝΙΑΣ,ΠΕΛΟΠΟΝΝΗΣΟΥ,9
